File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
stm32h7xx_hal_uart.o,9.921593%,5264,0,5240,24,0,0
stm32h7xx_hal_rcc_ex.o,6.841827%,3630,0,3630,0,0,0
stm32h7xx_hal_tim.o,5.560163%,2950,0,2950,0,0,0
stm32h7xx_hal_fdcan.o,5.386761%,2858,0,2766,92,0,0
mc_w.l,5.043727%,2676,8,2668,0,8,0
stm32h7xx_hal_rcc.o,5.017340%,2662,0,2662,0,0,0
tasks.o,5.006032%,2656,1280,2656,0,0,1280
printfa.o,4.255880%,2258,0,2258,0,0,0
stm32h7xx_hal_dma.o,4.063631%,2156,0,2156,0,0,0
m_wv.l,3.818607%,2026,0,1786,240,0,0
stm32h7xx_hal_spi.o,3.449186%,1830,0,1830,0,0,0
queue.o,3.324789%,1764,64,1764,0,0,64
timers.o,2.212756%,1174,300,1174,0,0,300
icm42688_dev.o,2.035585%,1080,138,1076,0,4,134
mf_w.l,2.009198%,1066,0,1066,0,0,0
tim.o,1.752865%,930,228,930,0,0,228
port.o,1.666164%,884,9,880,0,4,5
mahony.o,1.594542%,846,24,838,0,8,16
startup_stm32h723xx.o,1.417370%,752,1024,36,716,0,1024
chassis_task.o,1.417370%,752,8,752,0,0,8
mi_motor_dev.o,1.374020%,729,81,728,0,1,80
heap_4.o,1.266586%,672,15389,672,0,0,15389
atan.o,1.198733%,636,0,484,152,0,0
usart.o,1.123341%,596,296,596,0,0,296
asin.o,1.085645%,576,0,496,80,0,0
dji_motor_dev.o,0.991405%,526,592,526,0,0,592
atan2.o,0.859469%,456,0,456,0,0,0
fdcan.o,0.848160%,450,324,450,0,0,324
stm32h7xx_hal_gpio.o,0.802925%,426,0,426,0,0,0
device_dev.o,0.780308%,414,500,414,0,0,500
stm32h7xx_hal_tim_ex.o,0.776538%,412,0,412,0,0,0
cmsis_os2.o,0.772768%,410,1724,410,0,0,1724
freertos.o,0.757690%,402,20,164,238,0,20
fs_ia6b_dev.o,0.708685%,376,50,376,0,0,50
pid.o,0.663450%,352,0,352,0,0,0
main.o,0.663450%,352,0,352,0,0,0
dadd.o,0.629524%,334,0,334,0,0,0
spi.o,0.614445%,326,136,326,0,0,136
stm32h7xx_hal_uart_ex.o,0.580519%,308,0,292,16,0,0
gpio.o,0.565440%,300,0,300,0,0,0
tim_drv.o,0.463661%,246,6,246,0,0,6
can_drv.o,0.459891%,244,152,244,0,0,152
dmul.o,0.429735%,228,0,228,0,0,0
ddiv.o,0.418426%,222,0,222,0,0,0
can_potocol.o,0.395808%,210,0,210,0,0,0
stm32h7xx_hal_cortex.o,0.388269%,206,0,206,0,0,0
system_stm32h7xx.o,0.376960%,200,8,176,16,8,0
depilogue.o,0.350573%,186,0,186,0,0,0
stm32h7xx_hal.o,0.344919%,183,9,178,0,5,4
stm32h7xx_hal_timebase_tim.o,0.309107%,164,76,164,0,0,76
list.o,0.294029%,156,0,156,0,0,0
uart_potocol.o,0.245024%,130,0,130,0,0,0
poly.o,0.211098%,112,0,112,0,0,0
stm32h7xx_it.o,0.203559%,108,0,108,0,0,0
sqrt.o,0.199789%,106,0,106,0,0,0
uldiv.o,0.184710%,98,0,98,0,0,0
return_task.o,0.173402%,92,0,92,0,0,0
monitor_task.o,0.173402%,92,28,76,0,16,12
stm32h7xx_hal_pwr_ex.o,0.135706%,72,0,72,0,0,0
dunder.o,0.113088%,60,0,60,0,0,0
dfixul.o,0.090470%,48,0,48,0,0,0
cdrcmple.o,0.090470%,48,0,48,0,0,0
fpclassify.o,0.090470%,48,0,48,0,0,0
stm32h7xx_hal_msp.o,0.086701%,46,0,46,0,0,0
uidiv.o,0.082931%,44,0,44,0,0,0
bsp_usart_fputc.o,0.082931%,44,0,44,0,0,0
memseta.o,0.067853%,36,0,36,0,0,0
memcpya.o,0.067853%,36,0,36,0,0,0
llsshr.o,0.067853%,36,0,36,0,0,0
init.o,0.067853%,36,0,36,0,0,0
llushr.o,0.060314%,32,0,32,0,0,0
llshl.o,0.056544%,30,0,30,0,0,0
handlers.o,0.056544%,30,0,30,0,0,0
uart_drv.o,0.049005%,26,103,26,0,0,103
fabs.o,0.045235%,24,0,24,0,0,0
gpio_drv.o,0.041466%,22,0,22,0,0,0
driver_drv.o,0.037696%,20,0,20,0,0,0
errno.o,0.030157%,16,4,12,0,4,0
system_task.o,0.022618%,12,0,12,0,0,0
entry9a.o,0.015078%,8,0,8,0,0,0
entry2.o,0.015078%,8,0,8,0,0,0
qnan.o,0.015078%,8,0,0,8,0,0
control_task.o,0.015078%,8,0,8,0,0,0
stdout.o,0.007539%,4,4,0,0,4,0
entry5.o,0.007539%,4,0,4,0,0,0
