File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
heap_4.o,68.138145%,15389,672,672,0,0,15389
cmsis_os2.o,7.633385%,1724,410,410,0,0,1724
tasks.o,5.667479%,1280,2656,2656,0,0,1280
startup_stm32h723xx.o,4.533983%,1024,752,36,716,0,1024
dji_motor_dev.o,2.621209%,592,526,526,0,0,592
device_dev.o,2.213859%,500,414,414,0,0,500
fdcan.o,1.434580%,324,450,450,0,0,324
timers.o,1.328315%,300,1174,1174,0,0,300
usart.o,1.310604%,296,596,596,0,0,296
tim.o,1.009520%,228,930,930,0,0,228
can_drv.o,0.673013%,152,244,244,0,0,152
icm42688_dev.o,0.611025%,138,1080,1076,0,4,134
spi.o,0.602170%,136,326,326,0,0,136
uart_drv.o,0.456055%,103,26,26,0,0,103
mi_motor_dev.o,0.358645%,81,729,728,0,1,80
stm32h7xx_hal_timebase_tim.o,0.336507%,76,164,164,0,0,76
queue.o,0.283374%,64,1764,1764,0,0,64
fs_ia6b_dev.o,0.221386%,50,376,376,0,0,50
monitor_task.o,0.123976%,28,92,76,0,16,12
mahony.o,0.106265%,24,846,838,0,8,16
freertos.o,0.088554%,20,402,164,238,0,20
stm32h7xx_hal.o,0.039849%,9,183,178,0,5,4
port.o,0.039849%,9,884,880,0,4,5
mc_w.l,0.035422%,8,2676,2668,0,8,0
system_stm32h7xx.o,0.035422%,8,200,176,16,8,0
chassis_task.o,0.035422%,8,752,752,0,0,8
tim_drv.o,0.026566%,6,246,246,0,0,6
stdout.o,0.017711%,4,4,0,0,4,0
errno.o,0.017711%,4,16,12,0,4,0
